name,root,spirit,size
ClassicOldFashioned,OldFashioned,Bourbon,S
Sazerac,OldFashioned,Rye,M
MintJulep,OldFashioned,Bourbon,XS
HotToddy,OldFashioned,Bourbon,M

Stinger,OldFashioned,Cognac,X
Champagne,OldFashioned,Champagne,S
ClassicMartini,Martini,Gin,XS

Vesper,Martini,Gin,S

Negroni,Martini,Gin,XS

Boulevardier,Martini,Bourbon,M

Manhattan,Martini,Rye,M

Martinez,Martini,Gin,S

ClassicDaiquiri,Daiquiri,Rum,XL
HemingwayDaiquiri,Daiquiri,Rum,S

PiscoSour,Daiquiri,Pisco,XS

Bee'sKnees,Daiquiri,Gin,XS

BrownDerby,Daiquiri,Bourbon,XS

French75,Daiquiri,Gin,XS

ClassicSidecar,Sidecar,Cognac,S

Margarita,Sidecar,Tequila,S

LastWord,Sidecar,Gin,S

PaperPlane,Sidecar,Bourbon,S

Cosmopolitan,Sidecar,Vodka,M

CorpseReviver2,Sidecar,Gin,M

ClassicWhiskyHighball,Highball,Whiskey,S

Paloma,Highball,Tequila,M

GinandTonic,Highball,Gin,M

CubaLibre,Highball,Rum,S

Mimosa,Highball,Champagne,M

BloodyMary,Highball,Vodka,XS

ClassicFlip,Flip,Sherry,X

NewYorkFlip,Flip,Bourbon,M

EggNog,Flip,Rum,M

WhiteRussian,Flip,Vodka,M

IrishCoffee,Flip,Whiskey,S

PinaColada,Flip,Rum,X

BustedPipe,Martini,Bourbon,XL

PiedmountSour,Daiquiri,Bourbon,S

SmokyMargarita,Sidecar,Mezcal,S
